category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,纪阳除虫菊 milky 不二家牛奶妹香草牛奶 入浴剂 50g,168JPY,218JPY,(約8.58CNY)
化妝品,OPERA Mylash 黑皇后純黑睫毛膏 漆黑,"1,100JPY","1,100JPY",(約56.21CNY)
化妝品,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护润唇膏 防晒成分 SPF18/PA+ 3.5g,398JPY,398JPY,(約20.34CNY)
化妝品,利尻 洗髮乳 深咖啡色,"4,180JPY","4,180JPY",(約213.6CNY)
化妝品,SHISEIDO资生堂Waterinlip水之密语日本进口温泉水保湿防干裂修护含樱花等植物成分润唇膏 3.5g,498JPY,498JPY,(約25.45CNY)
化妝品,【数量限定，SK-II超值套装，更赠送青春敷面膜一枚】SK-II/SK2水油平衡补水保湿精华露神仙水230ml ＋提拉紧致收缩毛孔精华面霜大红瓶红罐80g 超值套装,"29,600JPY","29,600JPY","(約1,512.56CNY)"
化妝品,マキアージュ ドラマティックスキンセンサーベース EX,"2,860JPY","2,860JPY",(約146.15CNY)
化妝品,花王 Curél 潤浸保濕化妝水 I (清爽型),"2,180JPY","2,180JPY",(約111.4CNY)
化妝品, LuLuLun驻颜水油平衡抗衰焕活年轻肌补水保湿面膜【青色】10片装,720JPY,720JPY,(約36.79CNY)
化妝品,KOSE高丝Precious Garden珍贵花园保湿滋润持久留香实用套装,"1,080JPY","1,160JPY",(約55.19CNY)
化妝品,資生堂 AQUA LABEL 水之印抗老系列面霜 50g,"2,200JPY","2,200JPY",(約112.42CNY)
化妝品,SHISEIDO资生堂AQUA LABEL水之印紧致补水高保湿弹力面霜90g,"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,ROSETTE 海泥洗面乳 黃色款,558JPY,558JPY,(約28.51CNY)
化妝品,KAO花王Liese泡沫染发剂纯植物天然泡泡自己在家染发膏【可可茶棕色】(黑发用)108g,830JPY,830JPY,(約42.41CNY)
化妝品,KAO花王Curel珂润保湿补水敏感肌舒缓化妆水乳液超值套装,"3,980JPY","3,980JPY",(約203.38CNY)
化妝品,Kose 高丝 Q10弹力保湿细致嫩白滋润防裂清爽护手霜 80g,548JPY,548JPY,(約28CNY)
化妝品,AQUALABEL BRIGHT WHITE EX 45mL,"2,310JPY","2,310JPY",(約118.04CNY)
化妝品,資生堂 TSUBAKI Premium repair 洗髮精 490ml,"1,110JPY","1,110JPY",(約56.72CNY)
化妝品,KOSE高丝Precious Garden珍贵花园紧致柔嫩肌肤细致去皱保湿护手霜【柚子香】70g,398JPY,398JPY,(約20.34CNY)
化妝品,櫻花珍珠面膜 10片裝,"4,888JPY","4,888JPY",(約249.78CNY)
化妝品,BCL 桃子泡泡淨顏面膜 20g,398JPY,398JPY,(約20.34CNY)
化妝品,樂敦制藥 SKIN AQUA 水感保濕防嗮精華 80g,960JPY,960JPY,(約49.06CNY)
化妝品,KAO花王Liese泡沫染发剂纯植物天然泡泡自己在家染发膏【薰衣草紫色】(黑发用)108g,830JPY,830JPY,(約42.41CNY)
化妝品,纪阳除虫菊 milky 不二家牛奶妹香蕉牛奶 入浴剂 50g,168JPY,200JPY,(約8.58CNY)
